id;title;average rating;release date;genres;popularity
0;Toy Story;7.7;2016;Animation, Comedy, Family;21.946943
1;Jumanji;6.9;2014;Adventure, Fantasy, Family;17.015539
2;Grumpier Old Men;6.5;1995;Romance, Comedy;11.7129
3;Waiting to Exhale;6.1;2008;Comedy, Drama, Romance;3.859495
4;Father of the Bride Part II;5.7;1995;Comedy;8.387519
5;Heat;7.7;1995;Action, Crime, Drama, Thriller;17.924927
6;Sabrina;6.2;1995;Comedy, Romance;6.677277
7;Tom and Huck;5.4;2002;Action, Adventure, Drama, Family;2.561161
8;Sudden Death;5.5;2003;Action, Adventure, Thriller;5.23158
9;Golden Eye;6.6;2005;Adventure, Action, Thriller;14.686036
10;The American President;6.5;2019;Comedy, Drama, Romance;6.318445
11;Dracula: Dead and Loving It;5.7;1995;Comedy, Horror;5.430331
12;Balto;7.1;1995;Family, Animation, Adventure;12.140733
13;Nixon;7.1;1995;History, Drama;5.092
14;Cutthroat Island;5.7;1995;Action, Adventure;7.284477
15;Casino;7.8;2015;Drama, Crime;10.137389
16;Sense and Sensibility;7.2;1995;Drama, Romance;10.673167
17;Four Rooms;6.5;2017;Crime, Comedy;9.026586
18;Ace Ventura: When Nature Calls;6.1;2000;Crime, Comedy, Adventure;8.205448
19;Money Train;5.4;1995;Action, Comedy, Crime;7.337906
20;Get Shorty;6.4;2012;Comedy, Thriller, Crime;12.669608
21;Copycat;6.5;2007;Drama, Thriller;10.701801
22;Assassins;6.0;2014;Action, Adventure, Crime, Thriller;11.065939
23;Powder;6.3;2009;Drama, Fantasy, Science Fiction, Thriller;12.133094
24;Leaving Las Vegas;7.1;1995;Drama, Romance;10.332025
25;Othello;7.0;2003;Drama;1.845899
26;Now and Then;6.6;1995;Comedy, Drama, name': 'Family;8.681325
27;Persuasion;7.4;2003;Drama, Romance;2.228434
28;The City of Lost Children;7.6;1995;Fantasy, Science Fiction, Adventure;9.822423
29;Shanghai Triad;6.5;2018;Drama, Crime;1.100915
